Date,1 yr versus 3 mo,2 yr vs 3 mo,5 yr vs 2 yr,10 yr vs 2 yr,10 yr vs 3 mo
3/26/2021,0.04,0.12,0.71,1.53,1.65
3/25/2021,0.05,0.12,0.68,1.49,1.61
3/24/2021,0.05,0.12,0.69,1.48,1.6
3/23/2021,0.07,0.14,0.68,1.48,1.62
3/22/2021,0.03,0.12,0.72,1.54,1.66
3/19/2021,0.06,0.15,0.74,1.58,1.73
3/18/2021,0.07,0.15,0.7,1.55,1.7
3/17/2021,0.05,0.11,0.67,1.5,1.61
3/16/2021,0.05,0.13,0.68,1.47,1.6
3/15/2021,0.04,0.1,0.7,1.48,1.58
3/12/2021,0.05,0.1,0.71,1.5,1.6
3/11/2021,0.04,0.1,0.64,1.4,1.5
3/10/2021,0.04,0.12,0.64,1.37,1.49
3/9/2021,0.05,0.12,0.66,1.38,1.5
3/8/2021,0.04,0.12,0.69,1.42,1.54
3/5/2021,0.04,0.1,0.65,1.42,1.52
3/4/2021,0.04,0.1,0.63,1.4,1.5
3/3/2021,0.03,0.09,0.59,1.33,1.42
3/2/2021,0.04,0.09,0.54,1.29,1.38
3/1/2021,0.03,0.08,0.58,1.32,1.4
2/26/2021,0.04,0.1,0.61,1.3,1.4
2/25/2021,0.05,0.13,0.64,1.37,1.5
2/24/2021,0.05,0.09,0.5,1.26,1.35
2/23/2021,0.04,0.07,0.48,1.26,1.33
2/22/2021,0.03,0.08,0.5,1.26,1.34
2/19/2021,0.03,0.07,0.48,1.23,1.3
2/18/2021,0.03,0.08,0.45,1.18,1.26
2/17/2021,0.03,0.07,0.46,1.18,1.25
2/16/2021,0.04,0.09,0.44,1.17,1.26
2/12/2021,0.02,0.07,0.39,1.09,1.16
2/11/2021,0.02,0.06,0.35,1.05,1.11
2/10/2021,0.02,0.06,0.35,1.04,1.1
2/9/2021,0.03,0.07,0.37,1.07,1.14
2/8/2021,0.02,0.06,0.37,1.08,1.14
2/5/2021,0.03,0.06,0.38,1.1,1.16
2/4/2021,0.03,0.07,0.35,1.04,1.11
2/3/2021,0.04,0.07,0.35,1.04,1.11
2/2/2021,0.01,0.04,0.34,1.01,1.05
2/1/2021,0.01,0.04,0.31,0.98,1.02
1/29/2021,0.04,0.05,0.34,1,1.05
1/28/2021,0.01,0.05,0.3,0.95,1
1/27/2021,0.01,0.04,0.29,0.92,0.96
1/26/2021,0.02,0.04,0.31,0.94,0.98
1/25/2021,0.01,0.04,0.29,0.92,0.96
1/22/2021,0.02,0.05,0.31,0.97,1.02
1/21/2021,0.01,0.04,0.32,0.99,1.03
1/20/2021,0.02,0.05,0.32,0.97,1.02
1/19/2021,0.01,0.05,0.31,0.96,1.01
1/15/2021,0.01,0.04,0.33,0.98,1.02
1/14/2021,0.01,0.07,0.33,0.99,1.06
1/13/2021,0.03,0.05,0.34,0.96,1.01
1/12/2021,0.02,0.05,0.36,1.01,1.06
1/11/2021,0.02,0.06,0.36,1.01,1.07
1/8/2021,0.02,0.06,0.35,0.99,1.05
1/7/2021,0.02,0.05,0.32,0.94,0.99
1/6/2021,0.02,0.05,0.29,0.9,0.95
1/5/2021,0.01,0.04,0.25,0.83,0.87
1/4/2021,0.01,0.02,0.25,0.82,0.84
12/31/2020,0.01,0.04,0.23,0.8,0.84
12/30/2020,0.04,0.04,0.25,0.81,0.85
12/29/2020,0.01,0.02,0.25,0.82,0.84
12/28/2020,0,0.02,0.25,0.81,0.83
12/24/2020,0.01,0.04,0.24,0.81,0.85
12/23/2020,0,0.04,0.25,0.83,0.87
12/22/2020,0,0.04,0.24,0.8,0.84
12/21/2020,0,0.04,0.26,0.82,0.86
12/18/2020,0.01,0.05,0.26,0.82,0.87
12/17/2020,0.01,0.05,0.25,0.81,0.86
12/16/2020,0,0.04,0.24,0.79,0.83
12/15/2020,0.01,0.03,0.26,0.81,0.84
12/14/2020,0.01,0.04,0.24,0.77,0.81
12/11/2020,0.02,0.03,0.26,0.79,0.82
12/10/2020,0.02,0.06,0.25,0.78,0.84
12/9/2020,0.02,0.08,0.25,0.79,0.87
12/8/2020,0.01,0.05,0.25,0.78,0.83
12/7/2020,0.02,0.06,0.26,0.8,0.86
12/4/2020,0.02,0.07,0.26,0.81,0.88
12/3/2020,0.02,0.08,0.24,0.76,0.84
12/2/2020,0.02,0.07,0.26,0.79,0.86
12/1/2020,0.03,0.08,0.25,0.75,0.83
11/30/2020,0.03,0.08,0.2,0.68,0.76
11/27/2020,0.02,0.07,0.21,0.68,0.75
11/25/2020,0.02,0.08,0.22,0.71,0.79
11/24/2020,0.02,0.07,0.23,0.72,0.79
11/23/2020,0.02,0.08,0.23,0.7,0.78
11/20/2020,0.04,0.09,0.22,0.67,0.76
11/19/2020,0.04,0.11,0.21,0.68,0.79
11/18/2020,0.02,0.07,0.24,0.72,0.79
11/17/2020,0.03,0.09,0.21,0.69,0.78
11/16/2020,0.03,0.1,0.22,0.72,0.82
11/13/2020,0.03,0.08,0.24,0.72,0.8
11/12/2020,0.03,0.07,0.23,0.71,0.78
11/10/2020,0.02,0.09,0.27,0.79,0.88
11/9/2020,0.01,0.06,0.27,0.79,0.85
11/6/2020,0.02,0.06,0.2,0.67,0.73
11/5/2020,0.02,0.04,0.19,0.65,0.69
11/4/2020,0.02,0.04,0.19,0.64,0.68
11/3/2020,0.04,0.07,0.22,0.73,0.8
11/2/2020,0.04,0.07,0.22,0.71,0.78
10/30/2020,0.04,0.05,0.24,0.74,0.79
10/29/2020,0.03,0.07,0.22,0.69,0.76
10/28/2020,0.02,0.06,0.18,0.63,0.69
10/27/2020,0.02,0.06,0.18,0.63,0.69
10/26/2020,0.01,0.05,0.19,0.65,0.7
10/23/2020,0.02,0.08,0.19,0.67,0.75
10/22/2020,0.04,0.07,0.22,0.71,0.78
10/21/2020,0.03,0.04,0.22,0.69,0.73
10/20/2020,0.03,0.04,0.2,0.67,0.71
10/19/2020,0.02,0.05,0.18,0.62,0.67
10/16/2020,0.01,0.03,0.18,0.62,0.65
10/15/2020,0.01,0.03,0.18,0.6,0.63
10/14/2020,0.01,0.02,0.16,0.59,0.61
10/13/2020,0.02,0.05,0.15,0.58,0.63
10/9/2020,0.05,0.06,0.18,0.63,0.69
10/8/2020,0.04,0.04,0.2,0.65,0.69
10/7/2020,0.03,0.06,0.19,0.65,0.71
10/6/2020,0.04,0.04,0.18,0.62,0.66
10/5/2020,0.02,0.04,0.19,0.64,0.68
10/2/2020,0.03,0.04,0.15,0.57,0.61
10/1/2020,0.03,0.05,0.13,0.54,0.59
9/30/2020,0.02,0.03,0.15,0.56,0.59
9/29/2020,0.03,0.02,0.13,0.55,0.57
9/28/2020,0.01,0.03,0.12,0.53,0.56
9/25/2020,0.02,0.02,0.14,0.54,0.56
9/24/2020,0.02,0.04,0.13,0.53,0.57
9/23/2020,0.02,0.03,0.14,0.54,0.57
9/22/2020,0.02,0.03,0.14,0.55,0.58
9/21/2020,0.02,0.04,0.13,0.54,0.58
9/18/2020,0.03,0.04,0.15,0.56,0.6
9/17/2020,0.03,0.04,0.15,0.56,0.6
9/16/2020,0,0.02,0.14,0.55,0.57
9/15/2020,0.02,0.03,0.13,0.54,0.57
9/14/2020,0.03,0.03,0.13,0.54,0.57
9/11/2020,0.02,0.02,0.13,0.54,0.56
9/10/2020,0.03,0.02,0.12,0.54,0.56
9/9/2020,0.02,0.02,0.14,0.57,0.59
9/8/2020,0.02,0.01,0.14,0.55,0.56
9/4/2020,0.02,0.03,0.16,0.58,0.61
9/3/2020,0.01,0.02,0.11,0.5,0.52
9/2/2020,0.01,0.02,0.12,0.52,0.54
9/1/2020,0,0.01,0.13,0.55,0.56
8/31/2020,0.01,0.03,0.14,0.58,0.61
8/28/2020,0.02,0.04,0.14,0.6,0.64
8/27/2020,0.02,0.05,0.15,0.58,0.63
8/26/2020,0.01,0.05,0.12,0.53,0.58
8/25/2020,0.02,0.04,0.15,0.54,0.58
8/24/2020,0.02,0.02,0.14,0.51,0.53
8/21/2020,0.03,0.06,0.11,0.48,0.54
8/20/2020,0.01,0.02,0.13,0.52,0.54
8/19/2020,0.02,0.03,0.15,0.54,0.57
8/18/2020,0.04,0.05,0.13,0.53,0.58
8/17/2020,0.03,0.04,0.15,0.55,0.59
8/14/2020,0.03,0.04,0.15,0.57,0.61
8/13/2020,0.04,0.06,0.16,0.55,0.61
8/12/2020,0.02,0.05,0.14,0.53,0.58
8/11/2020,0.04,0.05,0.11,0.48,0.53
8/10/2020,0.02,0.03,0.1,0.45,0.48
8/7/2020,0.04,0.03,0.1,0.44,0.47
8/6/2020,0.04,0.01,0.1,0.44,0.45
8/5/2020,0.02,0.01,0.11,0.44,0.45
8/4/2020,0.05,0.02,0.08,0.41,0.43
8/3/2020,0.02,0.01,0.11,0.45,0.46
7/31/2020,0.02,0.02,0.1,0.44,0.46
7/30/2020,0.02,0.02,0.12,0.44,0.46
7/29/2020,0.02,0.01,0.13,0.46,0.47
7/28/2020,0.03,0.03,0.12,0.45,0.48
7/27/2020,0.03,0.04,0.15,0.47,0.51
7/24/2020,0.05,0.03,0.13,0.45,0.48
7/23/2020,0.02,0.04,0.11,0.43,0.47
7/22/2020,0.01,0.01,0.13,0.46,0.47
7/21/2020,0.02,0.01,0.13,0.47,0.48
7/20/2020,0.01,0.03,0.13,0.46,0.49
7/17/2020,0.03,0.03,0.15,0.5,0.53
7/16/2020,0.03,0.05,0.12,0.46,0.51
7/15/2020,-0.01,0,0.12,0.48,0.48
7/14/2020,0.02,-0.01,0.14,0.49,0.48
7/13/2020,0.02,0.02,0.14,0.48,0.5
7/10/2020,0.02,0.03,0.14,0.49,0.52
7/9/2020,0.02,0.03,0.12,0.46,0.49
7/8/2020,0,0.01,0.14,0.51,0.52
7/7/2020,0,0.01,0.13,0.49,0.5
7/6/2020,0.01,0.01,0.15,0.53,0.54
7/2/2020,0.02,0.02,0.13,0.52,0.54
7/1/2020,0.02,0.03,0.14,0.52,0.55
6/30/2020,0,0,0.13,0.5,0.5
6/29/2020,0.02,0.02,0.12,0.48,0.5
6/26/2020,0.03,0.03,0.13,0.47,0.5
6/25/2020,0.01,0.01,0.15,0.51,0.52
6/24/2020,0.02,0.04,0.14,0.5,0.54
6/23/2020,0.02,0.02,0.15,0.54,0.56
6/22/2020,0.01,0.03,0.15,0.52,0.55
6/19/2020,0.03,0.04,0.14,0.51,0.55
6/18/2020,0.03,0.03,0.15,0.52,0.55
6/17/2020,0.02,0.02,0.15,0.55,0.57
6/16/2020,0.01,0.04,0.13,0.54,0.58
6/15/2020,-0.01,0.01,0.14,0.52,0.53
6/12/2020,0.02,0.03,0.14,0.52,0.55
6/11/2020,0.02,0.02,0.13,0.47,0.49
6/10/2020,0.01,0,0.16,0.58,0.58
6/9/2020,0,0.01,0.2,0.64,0.65
6/8/2020,0.02,0.05,0.23,0.66,0.71
6/5/2020,0.03,0.07,0.25,0.69,0.76
6/4/2020,0.02,0.04,0.21,0.63,0.67
6/3/2020,0.01,0.03,0.19,0.58,0.61
6/2/2020,0.02,0.02,0.15,0.51,0.53
6/1/2020,0.03,0,0.17,0.52,0.52
5/29/2020,0.03,0.02,0.14,0.49,0.51
5/28/2020,0.02,0.02,0.17,0.53,0.55
5/27/2020,0.03,0.04,0.15,0.49,0.53
5/26/2020,0.03,0.04,0.17,0.51,0.55
5/22/2020,0.05,0.05,0.17,0.49,0.54
5/21/2020,0.04,0.05,0.18,0.51,0.56
5/20/2020,0.04,0.04,0.18,0.52,0.56
5/19/2020,0.03,0.04,0.18,0.53,0.57
5/18/2020,0.04,0.05,0.2,0.55,0.6
5/15/2020,0.03,0.04,0.15,0.48,0.52
5/14/2020,0.03,0.04,0.15,0.47,0.51
5/13/2020,0.02,0.03,0.15,0.48,0.51
5/12/2020,0.03,0.04,0.17,0.52,0.56
5/11/2020,0.04,0.05,0.19,0.56,0.61
5/8/2020,0.03,0.04,0.17,0.53,0.57
5/7/2020,0.04,0.02,0.16,0.5,0.52
5/6/2020,0.04,0.05,0.2,0.55,0.6
5/5/2020,0.03,0.06,0.17,0.47,0.53
5/4/2020,0.03,0.06,0.17,0.45,0.51
5/1/2020,0.05,0.08,0.16,0.44,0.52
4/30/2020,0.07,0.11,0.16,0.44,0.55
4/29/2020,0.08,0.1,0.16,0.43,0.53
4/28/2020,0.05,0.09,0.17,0.42,0.51
4/27/2020,0.05,0.12,0.17,0.43,0.55
4/24/2020,0.06,0.1,0.14,0.38,0.48
4/23/2020,0.06,0.11,0.15,0.39,0.5
4/22/2020,0.04,0.1,0.15,0.41,0.51
4/21/2020,0.06,0.09,0.14,0.38,0.47
4/20/2020,0.03,0.08,0.15,0.43,0.51
4/17/2020,0.04,0.08,0.16,0.45,0.53
4/16/2020,0.03,0.06,0.15,0.41,0.47
4/15/2020,0.05,0.06,0.14,0.43,0.49
4/14/2020,0.05,0.03,0.19,0.53,0.56
4/13/2020,0.01,-0.01,0.19,0.51,0.5
4/9/2020,0,-0.02,0.18,0.5,0.48
4/8/2020,0.01,0.05,0.2,0.5,0.55
4/7/2020,0.06,0.14,0.2,0.47,0.61
4/6/2020,0.05,0.12,0.17,0.4,0.52
4/3/2020,0.05,0.13,0.16,0.39,0.52
4/2/2020,0.05,0.14,0.16,0.4,0.54
4/1/2020,0.07,0.14,0.14,0.39,0.53
3/31/2020,0.06,0.12,0.14,0.47,0.59
3/30/2020,0.02,0.11,0.16,0.47,0.58
3/27/2020,0.08,0.22,0.16,0.47,0.69
3/26/2020,0.13,0.3,0.21,0.53,0.83
3/25/2020,0.19,0.34,0.22,0.54,0.88
3/24/2020,0.24,0.37,0.14,0.46,0.83
3/23/2020,0.15,0.26,0.1,0.48,0.74
3/20/2020,0.1,0.32,0.15,0.55,0.87
3/19/2020,0.16,0.4,0.22,0.68,1.08
3/18/2020,0.19,0.52,0.25,0.64,1.16
3/17/2020,0.11,0.28,0.19,0.55,0.83
3/16/2020,0.05,0.12,0.13,0.37,0.49
3/13/2020,0.1,0.21,0.21,0.45,0.66
3/12/2020,0.06,0.17,0.16,0.38,0.55
3/11/2020,-0.02,0.08,0.16,0.32,0.4
3/10/2020,-0.01,0.06,0.13,0.26,0.32
3/9/2020,-0.02,0.05,0.08,0.16,0.21
3/6/2020,-0.06,0.04,0.09,0.25,0.29
3/5/2020,-0.14,-0.03,0.08,0.33,0.3
3/4/2020,-0.13,-0.05,0.08,0.35,0.3
3/3/2020,-0.22,-0.24,0.06,0.31,0.07
3/2/2020,-0.24,-0.29,0.04,0.26,-0.03
2/28/2020,-0.3,-0.41,0.03,0.27,-0.14
2/27/2020,-0.27,-0.34,0,0.19,-0.15
2/26/2020,-0.27,-0.37,-0.02,0.17,-0.2
2/25/2020,-0.23,-0.33,-0.04,0.13,-0.2
2/24/2020,-0.18,-0.27,-0.05,0.12,-0.15
2/21/2020,-0.13,-0.22,-0.04,0.12,-0.1
2/20/2020,-0.12,-0.19,-0.02,0.13,-0.06
2/19/2020,-0.11,-0.16,-0.01,0.14,-0.02
2/18/2020,-0.11,-0.17,-0.02,0.14,-0.03
2/14/2020,-0.09,-0.16,0,0.17,0.01
2/13/2020,-0.11,-0.15,-0.01,0.17,0.02
2/12/2020,-0.09,-0.14,0.01,0.18,0.04
2/11/2020,-0.09,-0.16,-0.01,0.18,0.02
2/10/2020,-0.13,-0.21,0.01,0.19,-0.02
2/7/2020,-0.07,-0.15,0,0.18,0.03
2/6/2020,-0.06,-0.13,0.01,0.21,0.08
2/5/2020,-0.08,-0.13,0.02,0.22,0.09
2/4/2020,-0.09,-0.16,0.01,0.2,0.04
2/3/2020,-0.11,-0.21,-0.01,0.18,-0.03
1/31/2020,-0.1,-0.22,-0.01,0.18,-0.04
1/30/2020,-0.09,-0.16,-0.02,0.16,0
1/29/2020,-0.05,-0.14,-0.01,0.18,0.04
1/28/2020,-0.04,-0.12,0.02,0.2,0.08
1/27/2020,-0.02,-0.11,0,0.17,0.06
1/24/2020,0.01,-0.05,0.02,0.21,0.16
1/23/2020,0,-0.04,0.04,0.23,0.19
1/22/2020,0,-0.02,0.04,0.24,0.22
1/21/2020,-0.02,-0.03,0.04,0.25,0.22
1/17/2020,0,0.02,0.05,0.26,0.28
1/16/2020,-0.01,0.03,0.05,0.23,0.26
1/15/2020,-0.03,-0.01,0.04,0.23,0.22
1/14/2020,-0.04,0.01,0.05,0.24,0.25
1/13/2020,-0.04,0.01,0.07,0.27,0.28
1/10/2020,-0.01,0.02,0.07,0.27,0.29
1/9/2020,0,0.04,0.07,0.27,0.31
1/8/2020,0.01,0.04,0.09,0.29,0.33
1/7/2020,-0.01,0,0.08,0.29,0.29
1/6/2020,-0.02,-0.02,0.07,0.27,0.25
1/3/2020,0.03,0.01,0.06,0.27,0.28
1/2/2020,0.02,0.04,0.09,0.3,0.34
12/31/2019,0.04,0.03,0.11,0.34,0.37
12/30/2019,0,0.01,0.1,0.32,0.33
12/27/2019,-0.06,0.02,0.09,0.29,0.31
12/26/2019,-0.05,0.06,0.08,0.26,0.32
12/24/2019,-0.05,0.04,0.1,0.28,0.32
12/23/2019,-0.06,0.05,0.11,0.29,0.34
12/20/2019,-0.06,0.05,0.1,0.29,0.34
12/19/2019,-0.05,0.05,0.11,0.3,0.35
12/18/2019,-0.02,0.07,0.11,0.29,0.36
12/17/2019,-0.03,0.07,0.08,0.26,0.33
12/16/2019,-0.03,0.08,0.07,0.24,0.32
12/13/2019,-0.03,0.04,0.05,0.21,0.25
12/12/2019,-0.01,0.1,0.07,0.24,0.34
12/11/2019,-0.02,0.04,0.03,0.18,0.22
12/10/2019,0,0.09,0.03,0.2,0.29
12/9/2019,0.02,0.09,0.04,0.2,0.29
12/6/2019,0.04,0.08,0.06,0.23,0.31
12/5/2019,0.02,0.04,0.04,0.22,0.26
12/4/2019,0.01,0.03,0.02,0.19,0.22
12/3/2019,0,-0.04,0.01,0.19,0.15
12/2/2019,0,0.01,0.04,0.22,0.23
11/29/2019,0.01,0.02,0.01,0.17,0.19
11/27/2019,-0.02,0.01,0,0.14,0.15
11/26/2019,-0.01,-0.02,0,0.16,0.14
11/25/2019,-0.03,0,0.01,0.15,0.15
11/22/2019,-0.02,0.03,0.01,0.16,0.19
11/21/2019,-0.03,0.02,0.02,0.17,0.19
11/20/2019,-0.03,-0.01,0.02,0.17,0.16
11/19/2019,-0.03,0.03,0.03,0.19,0.22
11/18/2019,-0.03,0.03,0.03,0.21,0.24
11/15/2019,-0.03,0.04,0.04,0.23,0.27
11/14/2019,-0.02,0.01,0.05,0.24,0.25
11/13/2019,0,0.06,0.06,0.25,0.31
11/12/2019,-0.01,0.07,0.07,0.26,0.33
11/8/2019,0.03,0.13,0.06,0.26,0.39
11/7/2019,0.02,0.12,0.06,0.24,0.36
11/6/2019,0.02,0.05,0.02,0.2,0.25
11/5/2019,0.06,0.07,0.03,0.23,0.3
11/4/2019,0.03,0.07,0,0.19,0.26
11/1/2019,0.01,0.04,-0.01,0.17,0.21
10/31/2019,-0.01,-0.02,-0.01,0.17,0.15
10/30/2019,-0.03,-0.01,0,0.17,0.16
10/29/2019,-0.04,0.01,0.02,0.2,0.21
10/28/2019,-0.05,-0.01,0.02,0.21,0.2
10/25/2019,-0.06,-0.03,-0.01,0.17,0.14
10/24/2019,-0.08,-0.09,0,0.19,0.1
10/23/2019,-0.07,-0.07,0,0.19,0.12
10/22/2019,-0.06,-0.05,0,0.18,0.13
10/21/2019,-0.08,-0.05,-0.01,0.18,0.13
10/18/2019,-0.08,-0.08,-0.02,0.18,0.1
10/17/2019,-0.07,-0.06,-0.03,0.16,0.1
10/16/2019,-0.07,-0.08,-0.01,0.17,0.09
10/15/2019,-0.02,-0.06,-0.02,0.16,0.1
10/11/2019,-0.01,-0.05,-0.04,0.13,0.08
10/10/2019,-0.05,-0.15,-0.05,0.14,-0.01
10/9/2019,-0.1,-0.22,-0.07,0.12,-0.1
10/8/2019,-0.1,-0.3,-0.06,0.12,-0.18
10/7/2019,-0.11,-0.29,-0.08,0.1,-0.19
10/4/2019,-0.13,-0.31,-0.06,0.12,-0.19
10/3/2019,-0.12,-0.31,-0.05,0.15,-0.16
10/2/2019,-0.12,-0.31,-0.05,0.12,-0.19
10/1/2019,-0.09,-0.26,-0.05,0.09,-0.17
9/30/2019,-0.13,-0.25,-0.08,0.05,-0.2
9/27/2019,-0.06,-0.17,-0.07,0.06,-0.11
9/26/2019,-0.04,-0.17,-0.07,0.04,-0.13
9/25/2019,-0.07,-0.21,-0.08,0.05,-0.16
9/24/2019,-0.14,-0.32,-0.08,0.04,-0.28
9/23/2019,-0.13,-0.26,-0.09,0.04,-0.22
9/20/2019,-0.07,-0.22,-0.08,0.05,-0.17
9/19/2019,-0.05,-0.19,-0.08,0.05,-0.14
9/18/2019,-0.08,-0.18,-0.09,0.03,-0.15
9/17/2019,-0.12,-0.27,-0.06,0.09,-0.18
9/16/2019,-0.13,-0.25,-0.05,0.1,-0.15
9/13/2019,-0.08,-0.17,-0.04,0.11,-0.06
9/12/2019,-0.13,-0.23,-0.07,0.07,-0.16
9/11/2019,-0.17,-0.28,-0.08,0.07,-0.21
9/10/2019,-0.14,-0.28,-0.09,0.05,-0.23
9/9/2019,-0.22,-0.38,-0.09,0.05,-0.33
9/6/2019,-0.23,-0.43,-0.11,0.02,-0.41
9/5/2019,-0.24,-0.42,-0.12,0.02,-0.4
9/4/2019,-0.28,-0.54,-0.11,0.04,-0.5
9/3/2019,-0.26,-0.51,-0.12,0,-0.51
8/30/2019,-0.23,-0.49,-0.11,0,-0.49
8/29/2019,-0.24,-0.46,-0.13,-0.03,-0.49
8/28/2019,-0.25,-0.49,-0.13,-0.03,-0.52
8/27/2019,-0.21,-0.45,-0.13,-0.04,-0.49
8/26/2019,-0.26,-0.47,-0.11,0,-0.47
8/23/2019,-0.24,-0.46,-0.11,0.01,-0.45
8/22/2019,-0.21,-0.39,-0.11,0.01,-0.38
8/21/2019,-0.2,-0.41,-0.09,0.03,-0.38
8/20/2019,-0.22,-0.44,-0.08,0.05,-0.39
8/19/2019,-0.19,-0.41,-0.06,0.07,-0.34
8/16/2019,-0.16,-0.39,-0.06,0.07,-0.32
8/15/2019,-0.19,-0.43,-0.06,0.04,-0.39
8/14/2019,-0.17,-0.38,-0.07,0.01,-0.37
8/13/2019,-0.14,-0.34,-0.09,0.02,-0.32
8/12/2019,-0.25,-0.42,-0.09,0.07,-0.35
8/9/2019,-0.22,-0.37,-0.06,0.11,-0.26
8/8/2019,-0.23,-0.4,-0.08,0.1,-0.3
8/7/2019,-0.27,-0.43,-0.07,0.12,-0.31
8/6/2019,-0.25,-0.45,-0.07,0.13,-0.32
8/5/2019,-0.27,-0.46,-0.04,0.16,-0.3
8/2/2019,-0.21,-0.34,-0.06,0.14,-0.2
8/1/2019,-0.19,-0.34,-0.05,0.17,-0.17
7/31/2019,-0.08,-0.19,-0.05,0.13,-0.06
7/30/2019,-0.11,-0.23,-0.01,0.21,-0.02
7/29/2019,-0.14,-0.27,-0.01,0.21,-0.06
7/26/2019,-0.12,-0.26,-0.01,0.22,-0.04
7/25/2019,-0.11,-0.24,-0.01,0.22,-0.02
7/24/2019,-0.12,-0.27,-0.01,0.22,-0.05
7/23/2019,-0.09,-0.23,0,0.25,0.02
7/22/2019,-0.14,-0.29,0,0.25,-0.04
7/19/2019,-0.12,-0.26,0,0.25,-0.01
7/18/2019,-0.15,-0.28,0.01,0.27,-0.01
7/17/2019,-0.19,-0.31,0,0.23,-0.08
7/16/2019,-0.15,-0.28,0.01,0.26,-0.02
7/15/2019,-0.21,-0.33,0.01,0.26,-0.07
7/12/2019,-0.18,-0.3,0.02,0.28,-0.02
7/11/2019,-0.2,-0.32,0.03,0.28,-0.04
7/10/2019,-0.27,-0.38,0,0.25,-0.13
7/9/2019,-0.26,-0.34,-0.04,0.15,-0.19
7/8/2019,-0.27,-0.38,-0.02,0.17,-0.21
7/5/2019,-0.25,-0.36,-0.03,0.17,-0.19
